iter	RMSE
0	81.20166391
1	76.62570425
2	72.35961657
3	68.3267072
4	64.49357227
5	61.03956872
6	57.6961468
7	54.52809094
8	51.57155443
9	48.75829883
10	46.0559355
11	43.53645176
12	41.16639142
13	38.89430728
14	36.79107964
15	34.76812395
16	32.87603541
17	31.12191822
18	29.4450805
19	27.87719976
20	26.39860742
21	24.98526177
22	23.69078322
23	22.43292408
24	21.28929088
25	20.1922227
26	19.13117108
27	18.143844
28	17.2122953
29	16.33510976
30	15.54104716
31	14.77087461
32	14.05816104
33	13.3657926
34	12.73005679
35	12.12536074
36	11.57100886
37	11.03315111
38	10.53611497
39	10.06708588
40	9.643127885
41	9.228689209
42	8.844782395
43	8.487854943
44	8.135925559
45	7.810797119
46	7.511898529
47	7.218650616
48	6.944663164
49	6.69501016
50	6.468318514
51	6.248807948
52	6.03636819
53	5.846308435
54	5.673655614
55	5.497129866
56	5.332082238
57	5.183024973
58	5.031440729
59	4.895997877
60	4.761570405
61	4.636441309
62	4.516097834
63	4.40854685
64	4.30859926
65	4.215881244
66	4.116885244
67	4.024318111
68	3.941052327
69	3.863302742
70	3.800361443
71	3.732963157
72	3.666430992
73	3.61315018
74	3.559065966
75	3.500899693
76	3.440731584
77	3.384066259
78	3.332665291
79	3.283687062
80	3.239743469
81	3.200150825
82	3.161633562
83	3.112696463
84	3.080939692
85	3.036879118
86	3.001771616
87	2.973206973
88	2.940703452
89	2.910799149
90	2.882137279
91	2.848309432
92	2.827296901
93	2.802843056
94	2.78305815
95	2.750139843
96	2.726264554
97	2.693093815
98	2.671182314
99	2.652538608
100	2.636377167
101	2.62013659
102	2.596792028
103	2.577653273
104	2.559099158
105	2.546746966
106	2.530358631
107	2.502612753
108	2.478840167
109	2.459511082
110	2.438421478
111	2.421608915
112	2.398061303
113	2.387308053
114	2.368717368
115	2.355102217
116	2.337232479
117	2.324915201
118	2.303972279
119	2.282997845
120	2.267234551
121	2.248594755
122	2.231916611
123	2.215689973
124	2.201880024
125	2.189239203
126	2.179467601
127	2.167682065
128	2.151223602
129	2.140322481
130	2.123190375
131	2.107063015
132	2.094990391
133	2.084092563
134	2.072227272
135	2.057499922
136	2.048368375
137	2.038097573
138	2.02901006
139	2.018346003
140	2.004576296
141	1.992865164
142	1.982349732
143	1.97255214
144	1.961812903
145	1.950805061
146	1.942069446
147	1.933647091
148	1.92012495
149	1.908540447
150	1.898911079
151	1.889013014
152	1.882452749
153	1.874678171
154	1.865453298
155	1.858521007
156	1.848776879
157	1.83962623
158	1.831218169
159	1.821888189
160	1.815618899
161	1.80998747
162	1.797933475
163	1.789634293
164	1.780276213
165	1.773066657
166	1.763437027
167	1.754897414
168	1.745577621
169	1.739424959
170	1.731610672
171	1.724214141
172	1.715026296
173	1.707933988
174	1.697693639
175	1.69169973
176	1.68384539
177	1.677678208
178	1.671307568
179	1.6661304
180	1.659762028
181	1.653119595
182	1.644653233
183	1.637967966
184	1.633184183
185	1.627151735
186	1.621815443
187	1.616174384
188	1.609486649
189	1.602022529
190	1.596041985
191	1.58828428
192	1.581712527
193	1.575837849
194	1.567293454
195	1.561811718
196	1.556248918
197	1.55052377
198	1.546578581
199	1.541627545
200	1.535122094
201	1.528444494
202	1.523856302
203	1.518910452
204	1.510282788
205	1.506048052
206	1.501561759
207	1.497336686
208	1.492756361
209	1.48830353
210	1.482709509
211	1.478707969
212	1.47429727
213	1.469650683
214	1.465080442
215	1.459365684
216	1.453897922
217	1.450090422
218	1.444759432
219	1.438756517
220	1.434168249
221	1.42864395
222	1.424704817
223	1.420777109
224	1.415155402
225	1.408747129
226	1.404905514
227	1.399655998
228	1.39537667
229	1.391221787
230	1.38445163
231	1.378357658
232	1.374682491
233	1.368999243
234	1.365021385
235	1.361132327
236	1.356546776
237	1.352223933
238	1.347813062
239	1.344254407
240	1.340939405
241	1.336187666
242	1.332181811
243	1.325619945
244	1.321585138
245	1.317632464
246	1.314143987
247	1.310819106
248	1.305895194
249	1.302432088
250	1.298966488
251	1.294430638
252	1.291617201
253	1.284790888
254	1.281301217
255	1.278908258
256	1.273253993
257	1.269041707
258	1.26532166
259	1.262102996
260	1.259034097
261	1.25554584
262	1.252783815
263	1.248958688
264	1.244688647
265	1.24198488
266	1.239994334
267	1.235425204
268	1.23088256
269	1.227090775
270	1.223016559
271	1.220912455
272	1.21693748
273	1.212747113
274	1.208625853
275	1.205231844
276	1.202069044
277	1.199439903
278	1.196352171
279	1.192945909
280	1.189426402
281	1.187100185
282	1.183999911
283	1.181167803
284	1.179231448
285	1.175569155
286	1.172312357
287	1.169272029
288	1.167208707
289	1.164372499
290	1.161376027
291	1.158776592
292	1.155129908
293	1.15167321
294	1.148664338
295	1.14638465
296	1.143079835
297	1.141675246
298	1.139008014
299	1.136912298
300	1.134227413
301	1.130568436
302	1.128704678
303	1.124366273
304	1.121993192
305	1.118915336
306	1.11662689
307	1.113599099
308	1.111431584
309	1.109446037
310	1.106755927
311	1.10415844
312	1.102026789
313	1.098387969
314	1.096180482
315	1.093766371
316	1.092672662
317	1.090153229
318	1.087429727
319	1.08473215
320	1.082117512
321	1.079837715
322	1.077402655
323	1.075359077
324	1.073262479
325	1.070251332
326	1.067449685
327	1.065221546
328	1.063354252
329	1.060955077
330	1.059376986
331	1.057402784
332	1.055109911
333	1.05214081
334	1.050153288
335	1.048482321
336	1.046346552
337	1.043824631
338	1.04199673
339	1.039429049
340	1.037724495
341	1.036060286
342	1.033393441
343	1.030973622
344	1.029876454
345	1.027689213
346	1.023402098
347	1.021342855
348	1.019760646
349	1.016664784
350	1.014301406
351	1.012470628
352	1.010355539
353	1.008271177
354	1.007030291
355	1.005510799
356	1.003235667
357	1.002083002
358	0.9996804341
359	0.9960942553
360	0.9938563966
361	0.9917944521
362	0.9898900724
363	0.9877021276
364	0.9845071448
365	0.9826456203
366	0.980952026
367	0.9790500523
368	0.9768403794
369	0.9751037985
370	0.9724580983
371	0.9707503754
372	0.9693447163
373	0.9678461931
374	0.9664488396
375	0.9649292602
376	0.9633456452
377	0.9617371947
378	0.9601088078
379	0.9584205554
380	0.9568140435
381	0.95504737
382	0.9528036344
383	0.9508090467
384	0.9496581985
385	0.9476082431
386	0.9455876814
387	0.9442967955
388	0.9427771342
389	0.9417207581
390	0.9400056394
391	0.9388390514
392	0.9376808074
393	0.9347269783
394	0.9319751941
395	0.9306640637
396	0.9295657248
397	0.9276963404
398	0.9261165982
399	0.9245784755
400	0.9231450962
401	0.9213552902
402	0.9199414165
403	0.9174646748
404	0.9158102758
405	0.9146296972
406	0.9129643877
407	0.912042914
408	0.9110886464
409	0.9097512504
410	0.9075057337
411	0.9056662082
412	0.9041311209
413	0.902472928
414	0.9010444503
415	0.899814329
416	0.8978903209
417	0.8954942432
418	0.8934480267
419	0.8921970955
420	0.8906502515
421	0.8891712369
422	0.8876448552
423	0.8859383733
424	0.8839604244
425	0.8826503408
426	0.8809618866
427	0.8797037814
428	0.8781248218
429	0.8764263417
430	0.8749232471
431	0.8734619043
432	0.8722338527
433	0.870879939
434	0.8693778247
435	0.8674998359
436	0.8662712753
437	0.8653246765
438	0.8634227418
439	0.8618925623
440	0.8603639169
441	0.8588622457
442	0.8575881858
443	0.8565062441
444	0.8552421324
445	0.8533707595
446	0.8520295332
447	0.8506523185
448	0.8489646734
449	0.8476275724
450	0.8466759037
451	0.8452715135
452	0.8427954484
453	0.8419114716
454	0.8406934796
455	0.8392894555
456	0.8380924495
457	0.8367934676
458	0.8356185733
459	0.834556507
460	0.8322750467
461	0.8308180029
462	0.828563915
463	0.8276628446
464	0.8265218881
465	0.8250324561
466	0.8235090839
467	0.8216695299
468	0.8204409314
469	0.8195217842
470	0.8180613524
471	0.8171369867
472	0.8155743866
473	0.8143623772
474	0.8132325913
475	0.8122923449
476	0.8117293213
477	0.8102683695
478	0.8091446003
479	0.80783371
480	0.8067165622
481	0.8058210099
482	0.8045289529
483	0.8027719475
484	0.8018341433
485	0.800836706
486	0.7987629855
487	0.7979308244
488	0.7966927823
489	0.7948906715
490	0.7935817213
491	0.7922468458
492	0.7914432226
493	0.7903048023
494	0.7894105764
495	0.7874565235
496	0.786512374
497	0.7856482405
498	0.7840805616
499	0.7828674436
500	0.7809622373
501	0.7801594556
502	0.7788305284
503	0.7778529997
504	0.7767856366
505	0.7757326592
506	0.7744002512
507	0.7730786577
508	0.7718521813
509	0.7707618929
510	0.7697020435
511	0.7688668215
512	0.7674647321
513	0.7655889108
514	0.7646904479
515	0.763700956
516	0.7626628463
517	0.7615961094
518	0.7606367734
519	0.7597287186
520	0.7584072314
521	0.7572539662
522	0.7562715441
523	0.7549485667
