iter	Passed	Remaining
0	15	15012
1	29	14802
2	41	13915
3	53	13234
4	66	13269
5	78	13037
6	91	12919
7	103	12881
8	117	12896
9	130	12877
10	141	12735
11	152	12527
12	162	12350
13	175	12375
14	187	12285
15	199	12294
16	211	12213
17	221	12109
18	234	12132
19	247	12147
20	258	12050
21	269	11972
22	280	11915
23	292	11878
24	305	11902
25	316	11863
26	328	11825
27	340	11820
28	352	11801
29	363	11745
30	374	11717
31	386	11679
32	397	11640
33	408	11619
34	420	11587
35	431	11566
36	444	11566
37	455	11541
38	467	11522
39	479	11518
40	490	11479
41	502	11457
42	513	11430
43	525	11423
44	537	11415
45	548	11381
46	561	11381
47	574	11403
48	585	11372
49	601	11428
50	613	11421
51	627	11435
52	640	11445
53	653	11441
54	667	11461
55	678	11436
56	691	11433
57	703	11432
58	715	11416
59	727	11402
60	739	11381
61	750	11359
62	763	11359
63	774	11332
64	786	11307
65	798	11304
66	810	11290
67	821	11257
68	833	11242
69	844	11218
70	856	11201
71	870	11221
72	882	11210
73	895	11211
74	909	11218
75	921	11197
76	933	11188
77	946	11184
78	959	11180
79	970	11160
80	982	11146
81	996	11153
82	1008	11142
83	1021	11134
84	1033	11130
85	1046	11124
86	1059	11123
87	1072	11112
88	1083	11086
89	1097	11094
90	1108	11074
91	1121	11064
92	1132	11048
93	1136	10955
94	1147	10935
95	1160	10926
96	1171	10902
97	1183	10890
98	1196	10885
99	1207	10865
100	1219	10852
101	1231	10839
102	1242	10821
103	1254	10807
104	1268	10811
105	1280	10795
106	1292	10785
107	1304	10776
108	1316	10762
109	1331	10769
110	1342	10753
111	1354	10742
112	1366	10724
113	1377	10709
114	1391	10707
115	1402	10691
116	1414	10677
117	1426	10660
118	1438	10647
119	1448	10624
120	1460	10607
121	1470	10585
122	1483	10576
123	1494	10559
124	1506	10548
125	1518	10531
126	1530	10518
127	1542	10505
128	1554	10493
129	1566	10483
130	1578	10468
131	1590	10460
132	1603	10453
133	1615	10439
134	1627	10430
135	1639	10416
136	1651	10402
137	1662	10385
138	1674	10373
139	1686	10361
140	1701	10365
141	1712	10347
142	1724	10335
143	1736	10320
144	1747	10306
145	1759	10289
146	1770	10274
147	1782	10260
148	1794	10250
149	1806	10239
150	1818	10226
151	1830	10211
152	1841	10194
153	1854	10187
154	1865	10172
155	1877	10156
156	1889	10144
157	1900	10130
158	1912	10114
159	1924	10104
160	1931	10063
161	1943	10053
162	1956	10046
163	1968	10032
164	1978	10014
165	1990	10002
166	2003	9995
167	2015	9980
168	2027	9969
169	2039	9956
170	2050	9942
171	2062	9929
172	2074	9918
173	2087	9911
174	2099	9897
175	2111	9883
176	2123	9874
177	2135	9859
178	2145	9840
179	2158	9833
180	2169	9817
181	2183	9811
182	2196	9804
183	2210	9804
184	2223	9794
185	2236	9787
186	2249	9780
187	2261	9766
188	2273	9756
189	2285	9745
190	2298	9737
191	2311	9729
192	2324	9720
193	2337	9710
194	2350	9702
195	2362	9690
196	2373	9675
197	2385	9662
198	2397	9648
199	2409	9636
200	2421	9624
201	2433	9614
202	2446	9603
203	2458	9594
204	2474	9594
205	2486	9583
206	2499	9573
207	2512	9565
208	2524	9553
209	2535	9537
210	2548	9529
211	2560	9516
212	2572	9504
213	2585	9494
214	2596	9480
215	2609	9472
216	2623	9466
217	2635	9454
218	2648	9443
219	2659	9430
220	2672	9420
221	2684	9407
222	2696	9395
223	2706	9376
224	2718	9363
225	2730	9349
226	2742	9338
227	2754	9327
228	2766	9313
229	2777	9299
230	2789	9286
231	2801	9274
232	2814	9263
233	2827	9254
234	2840	9246
235	2852	9233
236	2863	9217
237	2876	9208
238	2887	9192
239	2898	9179
240	2910	9167
241	2922	9154
242	2935	9143
243	2946	9130
244	2958	9118
245	2971	9107
246	2983	9095
247	2994	9080
248	3006	9067
249	3018	9054
250	3030	9042
251	3041	9027
252	3053	9014
253	3064	9000
254	3076	8987
255	3088	8975
256	3101	8965
257	3112	8951
258	3124	8940
259	3137	8930
260	3148	8915
261	3160	8901
262	3172	8890
263	3183	8875
264	3194	8859
265	3205	8846
266	3217	8833
267	3229	8820
268	3242	8811
269	3255	8801
270	3268	8792
271	3281	8783
272	3294	8772
273	3308	8765
274	3320	8755
275	3335	8750
276	3347	8738
277	3360	8727
278	3372	8715
279	3384	8702
280	3396	8690
281	3408	8678
282	3420	8666
283	3432	8653
284	3443	8640
285	3455	8627
286	3468	8617
287	3480	8605
288	3492	8591
289	3504	8579
290	3515	8565
291	3527	8553
292	3539	8539
293	3550	8525
294	3562	8513
295	3575	8502
296	3585	8487
297	3597	8474
298	3608	8459
299	3619	8445
300	3631	8432
301	3642	8419
302	3654	8407
303	3666	8395
304	3676	8377
305	3687	8363
306	3699	8351
307	3712	8341
308	3722	8324
309	3734	8312
310	3745	8298
311	3758	8287
312	3770	8275
